"","ano","semana_epidemiologica","fecha_inicio_semana_epidemiologica","grupo_etario","departamento_residencia","n_notificaciones","n_confirmados_probables_fis","n_confirmados_por_laboratorio","n_internados_fecha_internacion","n_internados_uti_fecha_internacion","n_fallecidos_confirmados_por_laboratorio","Latitude","Longitud"
"156",2023,6,2023-02-05,"[20,30)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"157",2023,6,2023-02-05,"[30,40)","COMUNA 11",2,0,0,0,0,0,"-34.692.068","-58.293.894"
"158",2023,6,2023-02-05,"[40,50)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"159",2023,6,2023-02-05,"[50,60)","COMUNA 11",1,0,0,0,0,0,"-34.692.068","-58.293.894"
"160",2023,6,2023-02-05,"[60,70)","COMUNA 11",0,1,1,0,0,0,"-34.692.068","-58.293.894"
"161",2023,6,2023-02-05,"[70,80)","COMUNA 11",1,0,0,1,0,0,"-34.692.068","-58.293.894"
"162",2023,6,2023-02-05,"[40,50)","COMUNA 12",0,1,0,0,0,0,"-34.706.587","-58.283.475"
"163",2023,6,2023-02-05,"[50,60)","COMUNA 12",1,0,0,0,0,0,"-34.706.587","-58.283.475"
"164",2023,6,2023-02-05,"[60,70)","COMUNA 12",0,1,0,0,0,0,"-34.706.587","-58.283.475"
"165",2023,6,2023-02-05,"[0,10)","COMUNA 13",1,0,0,0,0,0,"-34.721.933","-58.272.752"
"166",2023,6,2023-02-05,"[20,30)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"167",2023,6,2023-02-05,"[50,60)","COMUNA 14",1,0,0,0,0,0,"-34.738.059","-58.261.706"
"168",2023,6,2023-02-05,"[50,60)","COMUNA 15",1,0,0,0,0,0,"-34.754.920","-58.250.315"
"169",2023,6,2023-02-05,"[20,30)","COMUNA 2",2,0,0,0,0,0,"-34.606.241","-58.374.636"
"170",2023,6,2023-02-05,"[30,40)","COMUNA 2",0,1,1,0,0,0,"-34.606.241","-58.374.636"
"171",2023,6,2023-02-05,"[50,60)","COMUNA 3",1,0,0,0,0,0,"-34.611.339","-58.366.940"
"172",2023,6,2023-02-05,"[0,10)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
"173",2023,6,2023-02-05,"[10,20)","COMUNA 4",0,1,0,0,0,0,"-34.617.566","-58.358.616"
"174",2023,6,2023-02-05,"[20,30)","COMUNA 4",2,0,0,0,0,0,"-34.617.566","-58.358.616"
"175",2023,6,2023-02-05,"[30,40)","COMUNA 4",1,0,0,0,0,0,"-34.617.566","-58.358.616"
